Tarikh,Kluster,Bayaran,Kaedah Pembayaran,Jumlah
27/11/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),MAJLIS APRESIASI KECEMERLANGAN AKADEMIK 2,Bank,1500
27/11/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),BENGKEL SHOOT LIKE A PRO,Bank,410
22/11/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),BAYARAN KEPADA MAPS UNTUK JAMUAN AKHIR TAHUN,Bank,500
6/11/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),SUMBANGAN KEM GEN MADANI,Bank,500
31/10/2025,PEMBANGUNAN FIZIKAL DAN KECERIAN KOLEJ (RM30),MINYAK ADBLUE BAGI BAS BAHARU KVKS,Bank,650
29/10/2025,SUMBANGAN TABUNG PIBG (RM20) ANAK KEDUA - (RM0),MINUM PETANG MESYUARAT AJK PIBG,Tunai,88.5
17/10/2025,AKTIVITI KOKURIKULUM (RM25),KEJOHANAN OLAHRAGA KVKS 2025,Bank,1000
2/10/2025,TABUNG GRADUASI DAN APRESIASI (RM30),BAYARAN PENGURUSAN GRADUASI KOHORT 2023,Bank,6400
30/9/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),KEM PERKAMPUNGAN ILMU OPP 2025,Tunai,100
10/9/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),BAYARAN HOMESTAY LAWATAN AKADEMIK PROGRAM PERAKAUNAN,Bank,1140
10/9/2025,AKTIVITI KECEMERLANGAN AKADEMIK (RM70),KV SKILLS KEBANGSAAN,Bank,4310
8/9/2025,TABUNG GRADUASI DAN APRESIASI (RM30),BAYARAN MAJLIS GRADUASI KOHORT 2023 KEPADA PKPSMT,Bank,12950
4/9/2025,AKTIVITI PEMBANGUNAN SAHSIAH (RM25),LAWATAN KE PARLIMEN OLEH MPP,Tunai,180
4/9/2025,AKTIVITI KOKURIKULUM (RM25),WANG SAKU PELAJAR SIPMA,Tunai,400
4/9/2025,AKTIVITI PEMBANGUNAN SAHSIAH (RM25),KEM KEPIMPINAN PELAJAR JABATAN TEKNOLOGI MAKLUMAT,Tunai,1000
4/9/2025,AKTIVITI PEMBANGUNAN SAHSIAH (RM25),BENGKEL ETIKET & PROTOKOL,Tunai,839
4/9/2025,AKTIVITI PEMBANGUNAN SAHSIAH (RM25),MAJLIS BERDAMAI DENGAN TAKDIR,Tunai,150
